text,source,date,url,truth_score,verdict
Sensex revises economic recovery trends,,,,94.65,TRUE
Indian banks revises interest rate outlook,,,,95.22,TRUE
Sensex signals strong quarterly earnings growth,,,,94.82,TRUE
Auto sector shows market volatility after global cues,,,,95.69,TRUE
IT stocks records credit growth improvement,,,,95.3,TRUE
Nifty updates foreign investment inflows,,,,95.41,TRUE
SEBI reports foreign investment inflows,,,,95.1,TRUE
Indian banks updates investment activity increase,,,,95.79,TRUE
IT stocks shows investment activity increase,,,,95.26,TRUE
Mutual fund industry announces policy changes amid inflation concerns,,,,96.44,TRUE
Mutual fund industry shows new regulatory framework,,,,96.03,TRUE
IT stocks expects sector growth outlook,,,,95.66,TRUE
RBI announces credit growth improvement,,,,95.71,TRUE
Auto sector announces strong quarterly earnings growth,,,,96.33,TRUE
Nifty records new regulatory framework,,,,94.58,TRUE
Mutual fund industry expects interest rate outlook,,,,95.67,TRUE
RBI announces strong quarterly earnings growth,,,,95.68,TRUE
Finance Ministry signals strong quarterly earnings growth,,,,95.72,TRUE
Nifty revises market volatility after global cues,,,,94.34,TRUE
PSU banks confirms sector growth outlook,,,,95.26,TRUE
Auto sector announces credit growth improvement,,,,96.37,TRUE
Auto sector signals market volatility after global cues,,,,95.21,TRUE
Finance Ministry records new regulatory framework,,,,95.03,TRUE
IT stocks confirms strong quarterly earnings growth,,,,95.71,TRUE
RBI updates investment activity increase,,,,95.13,TRUE
Auto sector shows economic recovery trends,,,,96.01,TRUE
Nifty revises interest rate outlook,,,,94.73,TRUE
IT stocks indicates market volatility after global cues,,,,93.97,TRUE
Nifty announces economic recovery trends,,,,94.56,TRUE
Sensex confirms strong quarterly earnings growth,,,,95.45,TRUE
Finance Ministry revises interest rate outlook,,,,95.3,TRUE
Sensex shows credit growth improvement,,,,94.99,TRUE
Indian banks reports interest rate outlook,,,,94.95,TRUE
Indian banks reports economic recovery trends,,,,95.18,TRUE
IT stocks confirms market volatility after global cues,,,,95.13,TRUE
Nifty updates market volatility after global cues,,,,94.63,TRUE
SEBI updates policy changes amid inflation concerns,,,,95.67,TRUE
Auto sector reports market volatility after global cues,,,,95.5,TRUE
Mutual fund industry shows market volatility after global cues,,,,95.55,TRUE
Indian banks reports sector growth outlook,,,,95.57,TRUE
PSU banks revises investment activity increase,,,,95.05,TRUE
Sensex updates economic recovery trends,,,,94.64,TRUE
Nifty revises sector growth outlook,,,,94.92,TRUE
IT stocks shows policy changes amid inflation concerns,,,,95.83,TRUE
RBI announces policy changes amid inflation concerns,,,,95.77,TRUE
Auto sector expects interest rate outlook,,,,95.89,TRUE
RBI revises foreign investment inflows,,,,95.73,TRUE
IT stocks reports economic recovery trends,,,,95.22,TRUE
Auto sector announces interest rate outlook,,,,95.96,TRUE
SEBI revises interest rate outlook,,,,94.91,TRUE
Nifty confirms credit growth improvement,,,,95.81,TRUE
Finance Ministry indicates economic recovery trends,,,,94.61,TRUE
SEBI expects new regulatory framework,,,,94.87,TRUE
Auto sector signals foreign investment inflows,,,,95.96,TRUE
Mutual fund industry announces credit growth improvement,,,,96.35,TRUE
Mutual fund industry records investment activity increase,,,,95.54,TRUE
Indian banks announces investment activity increase,,,,95.33,TRUE
Indian banks expects new regulatory framework,,,,95.15,TRUE
Finance Ministry reports market volatility after global cues,,,,95.06,TRUE
Finance Ministry updates foreign investment inflows,,,,95.64,TRUE
Nifty shows new regulatory framework,,,,95.01,TRUE
IT stocks shows new regulatory framework,,,,95.45,TRUE
Indian banks indicates foreign investment inflows,,,,95.51,TRUE
PSU banks confirms new regulatory framework,,,,95.16,TRUE
Finance Ministry confirms investment activity increase,,,,95.09,TRUE
Nifty shows interest rate outlook,,,,94.87,TRUE
PSU banks updates investment activity increase,,,,95.53,TRUE
SEBI records foreign investment inflows,,,,95.0,TRUE
Indian banks signals credit growth improvement,,,,95.33,TRUE
Indian banks shows investment activity increase,,,,95.35,TRUE
Mutual fund industry revises economic recovery trends,,,,95.89,TRUE
Nifty reports policy changes amid inflation concerns,,,,95.55,TRUE
SEBI updates investment activity increase,,,,95.23,TRUE
PSU banks announces credit growth improvement,,,,95.54,TRUE
Indian banks shows new regulatory framework,,,,95.52,TRUE
PSU banks reports interest rate outlook,,,,94.66,TRUE
Nifty records investment activity increase,,,,94.47,TRUE
SEBI revises economic recovery trends,,,,94.92,TRUE
Auto sector shows new regulatory framework,,,,96.3,TRUE
Nifty indicates economic recovery trends,,,,94.21,TRUE
IT stocks reports sector growth outlook,,,,95.65,TRUE
RBI revises market volatility after global cues,,,,94.82,TRUE
Mutual fund industry updates credit growth improvement,,,,96.32,TRUE
RBI expects sector growth outlook,,,,95.27,TRUE
PSU banks reports investment activity increase,,,,95.16,TRUE
Nifty confirms new regulatory framework,,,,95.21,TRUE
SEBI updates economic recovery trends,,,,94.89,TRUE
Auto sector expects strong quarterly earnings growth,,,,96.29,TRUE
RBI shows investment activity increase,,,,95.28,TRUE
SEBI records strong quarterly earnings growth,,,,95.31,TRUE
IT stocks records market volatility after global cues,,,,94.48,TRUE
PSU banks confirms investment activity increase,,,,95.14,TRUE
IT stocks updates credit growth improvement,,,,96.08,TRUE
SEBI shows policy changes amid inflation concerns,,,,95.49,TRUE
Nifty confirms interest rate outlook,,,,95.16,TRUE
RBI revises policy changes amid inflation concerns,,,,95.82,TRUE
Mutual fund industry records sector growth outlook,,,,95.8,TRUE
Sensex confirms investment activity increase,,,,95.08,TRUE
Auto sector confirms credit growth improvement,,,,96.53,TRUE
RBI shows policy changes amid inflation concerns,,,,95.84,TRUE
SEBI revises foreign investment inflows,,,,95.37,TRUE
Indian banks revises policy changes amid inflation concerns,,,,95.79,TRUE
Mutual fund industry confirms market volatility after global cues,,,,95.85,TRUE
Auto sector announces policy changes amid inflation concerns,,,,96.4,TRUE
Mutual fund industry announces foreign investment inflows,,,,96.03,TRUE
Indian banks records policy changes amid inflation concerns,,,,95.49,TRUE
RBI revises sector growth outlook,,,,95.47,TRUE
Indian banks records strong quarterly earnings growth,,,,95.21,TRUE
Sensex expects strong quarterly earnings growth,,,,94.96,TRUE
SEBI expects strong quarterly earnings growth,,,,95.49,TRUE
Indian banks shows economic recovery trends,,,,95.2,TRUE
PSU banks revises strong quarterly earnings growth,,,,95.31,TRUE
Indian banks announces strong quarterly earnings growth,,,,95.81,TRUE
Auto sector indicates sector growth outlook,,,,95.41,TRUE
Sensex confirms interest rate outlook,,,,95.04,TRUE
IT stocks indicates economic recovery trends,,,,94.47,TRUE
PSU banks expects market volatility after global cues,,,,94.43,TRUE
Finance Ministry updates interest rate outlook,,,,95.37,TRUE
Mutual fund industry signals policy changes amid inflation concerns,,,,96.47,TRUE
SEBI reports credit growth improvement,,,,95.27,TRUE
Mutual fund industry signals sector growth outlook,,,,95.96,TRUE
SEBI expects economic recovery trends,,,,94.61,TRUE
Indian banks signals policy changes amid inflation concerns,,,,95.75,TRUE
PSU banks indicates credit growth improvement,,,,95.24,TRUE
Finance Ministry signals policy changes amid inflation concerns,,,,95.98,TRUE
RBI revises economic recovery trends,,,,95.29,TRUE
SEBI signals strong quarterly earnings growth,,,,95.64,TRUE
Auto sector updates credit growth improvement,,,,96.57,TRUE
SEBI announces economic recovery trends,,,,94.65,TRUE
RBI shows strong quarterly earnings growth,,,,95.45,TRUE
SEBI confirms foreign investment inflows,,,,95.5,TRUE
IT stocks signals strong quarterly earnings growth,,,,95.5,TRUE
Sensex confirms market volatility after global cues,,,,94.86,TRUE
SEBI records economic recovery trends,,,,94.4,TRUE
Finance Ministry revises policy changes amid inflation concerns,,,,95.87,TRUE
RBI reports economic recovery trends,,,,94.86,TRUE
SEBI signals credit growth improvement,,,,95.57,TRUE
PSU banks reports policy changes amid inflation concerns,,,,95.76,TRUE
Sensex shows sector growth outlook,,,,94.66,TRUE
Indian banks shows credit growth improvement,,,,95.66,TRUE
Indian banks reports credit growth improvement,,,,95.75,TRUE
RBI confirms new regulatory framework,,,,95.36,TRUE
Mutual fund industry updates strong quarterly earnings growth,,,,96.08,TRUE
Finance Ministry revises foreign investment inflows,,,,95.68,TRUE
Sensex confirms sector growth outlook,,,,95.2,TRUE
SEBI confirms interest rate outlook,,,,95.09,TRUE
Nifty records foreign investment inflows,,,,94.71,TRUE
Sensex announces interest rate outlook,,,,94.3,TRUE
SEBI shows foreign investment inflows,,,,95.13,TRUE
RBI reports investment activity increase,,,,95.15,TRUE
Finance Ministry indicates sector growth outlook,,,,94.91,TRUE
SEBI announces interest rate outlook,,,,94.87,TRUE
Mutual fund industry records strong quarterly earnings growth,,,,95.96,TRUE
Finance Ministry indicates interest rate outlook,,,,94.53,TRUE
Indian banks indicates policy changes amid inflation concerns,,,,95.74,TRUE
Mutual fund industry confirms credit growth improvement,,,,96.42,TRUE
Sensex records market volatility after global cues,,,,94.13,TRUE
Mutual fund industry announces strong quarterly earnings growth,,,,96.36,TRUE
Indian banks indicates investment activity increase,,,,95.03,TRUE
Finance Ministry reports credit growth improvement,,,,95.84,TRUE
IT stocks expects market volatility after global cues,,,,94.48,TRUE
